pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,itl,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"ZE1 0AP","ZE1  0AP","ZE1 0AP","198001","","0","448026","1141139","1","S00129134","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","7D1",60.151934,-1.136827,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0AQ","ZE1  0AQ","ZE1 0AQ","198001","","0","447830","1141090","1","S00129055","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","7A1",60.151508,-1.140361,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0AR","ZE1  0AR","ZE1 0AR","198001","","0","447811","1141051","1","S00129051","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","8C2",60.151160,-1.140712,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0AS","ZE1  0AS","ZE1 0AS","198001","","0","447851","1140983","1","S00129050","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","7C3",60.150545,-1.140008,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0AT","ZE1  0AT","ZE1 0AT","198001","","0","447691","1140987","1","S00129047","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002498","S03000037","S99999999","S99999999","5","8C2",60.150609,-1.142895,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0AU","ZE1  0AU","ZE1 0AU","199405","","0","447935","1141182","1","S00129054","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","5B3",60.152321,-1.138449,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0AW","ZE1  0AW","ZE1 0AW","198001","","0","447948","1141127","1","S00129054","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","5B3",60.151836,-1.138234,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0AX","ZE1  0AX","ZE1 0AX","198001","","0","447844","1140861","1","S00129050","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","7C3",60.149460,-1.140169,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0AY","ZE1  0AY","ZE1 0AY","199512","200509","1","447759","1141280","1","S00129053","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.153222,-1.141595,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0AZ","ZE1  0AZ","ZE1 0AZ","199606","","0","447556","1141655","1","S00129087","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012400","S02002324","S34002515","S03000037","S99999999","S99999999","5","7A2",60.156622,-1.145171,"S99999999","S99999999","S23000009",2889,"S99999999","S99999999"
"ZE1 0BA","ZE1  0BA","ZE1 0BA","198001","","0","447984","1141037","1","S00129052","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","1B1",60.151023,-1.137607,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0BB","ZE1  0BB","ZE1 0BB","198001","","0","448173","1140902","1","S00129134","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","7D1",60.149780,-1.134229,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0BD","ZE1  0BD","ZE1 0BD","198001","","0","447729","1141262","1","S00129053","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.153064,-1.142140,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BE","ZE1  0BE","ZE1 0BE","199308","","0","447711","1141124","1","S00129051","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","8C2",60.151827,-1.142496,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BF","ZE1  0BF","ZE1 0BF","199405","","0","447769","1141219","1","S00129049","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A2",60.152683,-1.141436,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BG","ZE1  0BG","ZE1 0BG","198001","","0","448103","1141114","1","S00129134","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","7D1",60.151701,-1.135446,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0BH","ZE1  0BH","ZE1 0BH","198001","","0","448031","1141020","1","S00129052","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","1B1",60.150856,-1.136758,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0BJ","ZE1  0BJ","ZE1 0BJ","198001","","0","447681","1141212","1","S00129053","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.152630,-1.143023,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BL","ZE1  0BL","ZE1 0BL","198001","","0","447689","1141193","1","S00129049","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A2",60.152449,-1.142876,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BN","ZE1  0BN","ZE1 0BN","198001","","0","447647","1141136","1","S00129051","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","8C2",60.151942,-1.143646,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BP","ZE1  0BP","ZE1 0BP","198001","","0","447746","1141066","1","S00129051","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","8C2",60.151312,-1.141886,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BQ","ZE1  0BQ","ZE1 0BQ","198001","","0","447619","1140999","1","S00129046","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002498","S03000037","S99999999","S99999999","5","8C1",60.150725,-1.144189,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BR","ZE1  0BR","ZE1 0BR","198001","","0","447607","1141116","1","S00129046","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002498","S03000037","S99999999","S99999999","5","8C1",60.151777,-1.144378,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BS","ZE1  0BS","ZE1 0BS","198001","","0","447621","1141163","1","S00129051","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","8C2",60.152187,-1.144108,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BT","ZE1  0BT","ZE1 0BT","198001","","0","447526","1141098","1","S00129046","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002498","S03000037","S99999999","S99999999","5","8C1",60.151615,-1.145834,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BU","ZE1  0BU","ZE1 0BU","199405","","0","447702","1141083","1","S00129051","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","8C2",60.151469,-1.142675,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BW","ZE1  0BW","ZE1 0BW","199405","","0","447679","1141078","1","S00129051","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","8C2",60.151418,-1.143083,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BX","ZE1  0BX","ZE1 0BX","198001","","0","447519","1141030","1","S00129048","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002498","S03000037","S99999999","S99999999","5","8C1",60.151005,-1.145976,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BY","ZE1  0BY","ZE1 0BY","199405","","0","447727","1141189","1","S00129049","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A2",60.152408,-1.142193,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0BZ","ZE1  0BZ","ZE1 0BZ","199405","","0","447728","1141165","1","S00129049","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A2",60.152203,-1.142187,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0DA","ZE1  0DA","ZE1 0DA","198001","","0","447455","1141151","1","S00129048","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002498","S03000037","S99999999","S99999999","5","8C1",60.152109,-1.147107,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0DB","ZE1  0DB","ZE1 0DB","198001","","0","447486","1140960","1","S00129047","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002498","S03000037","S99999999","S99999999","5","8C2",60.150381,-1.146586,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0DD","ZE1  0DD","ZE1 0DD","198001","","0","447365","1141035","1","S00129045","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012395","S02002324","S34002498","S03000037","S99999999","S99999999","5","5B2",60.151077,-1.148755,"S99999999","S99999999","S23000009",4605,"S99999999","S99999999"
"ZE1 0DE","ZE1  0DE","ZE1 0DE","199402","","0","447001","1141816","1","S00129070","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012400","S02002324","S34002516","S03000037","S99999999","S99999999","5","7A1",60.158131,-1.155130,"S99999999","S99999999","S23000009",2889,"S99999999","S99999999"
"ZE1 0DF","ZE1  0DF","ZE1 0DF","199606","200305","0","446069","1142023","1","S00129114","S99999999","S99999999","S12000027","S13002775","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012402","S02002325","S34002508","S03000037","S99999999","S99999999","8","1A1",60.160086,-1.171863,"S99999999","S99999999","S23000009",4486,"S99999999","S99999999"
"ZE1 0DG","ZE1  0DG","ZE1 0DG","199512","","0","446250","1142971","1","S00129140","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012401","S02002324","S34000595","S03000037","S99999999","S99999999","5","7C3",60.168586,-1.168395,"S99999999","S99999999","S23000009",1774,"S99999999","S99999999"
"ZE1 0DH","ZE1  0DH","ZE1 0DH","199512","","0","446053","1140393","1","S00129084","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012393","S02002323","S34002522","S03000037","S99999999","S99999999","5","8C2",60.145454,-1.172519,"S99999999","S99999999","S23000009",4778,"S99999999","S99999999"
"ZE1 0DJ","ZE1  0DJ","ZE1 0DJ","198001","","0","447445","1141050","1","S00129048","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002498","S03000037","S99999999","S99999999","5","8C1",60.151193,-1.147304,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0DL","ZE1  0DL","ZE1 0DL","198001","","0","447663","1141307","1","S00129053","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.153485,-1.143325,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0DN","ZE1  0DN","ZE1 0DN","199210","199812","1","446053","1140912","6","S00129036","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012393","S02002323","S34002522","S03000037","S99999999","S99999999","5","1A4",60.150113,-1.172402,"S99999999","S99999999","S23000009",4778,"S99999999","S99999999"
"ZE1 0DP","ZE1  0DP","ZE1 0DP","198001","","0","447630","1141329","1","S00129058","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012398","S02002324","S34002497","S03000037","S99999999","S99999999","5","5B3",60.153677,-1.143907,"S99999999","S99999999","S23000009",4073,"S99999999","S99999999"
"ZE1 0DQ","ZE1  0DQ","ZE1 0DQ","198001","","0","447627","1141304","1","S00129056","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.153462,-1.143974,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0DR","ZE1  0DR","ZE1 0DR","198001","","0","447574","1141283","1","S00129056","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.153280,-1.144933,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0DS","ZE1  0DS","ZE1 0DS","198001","","0","447650","1141301","1","S00129056","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.153433,-1.143560,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0DT","ZE1  0DT","ZE1 0DT","198001","","0","447574","1141244","1","S00129056","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.152920,-1.144935,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0DU","ZE1  0DU","ZE1 0DU","199606","","0","447746","1140882","1","S00129050","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","7C3",60.149650,-1.141923,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0DW","ZE1  0DW","ZE1 0DW","198107","","0","447552","1141314","1","S00129058","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012398","S02002324","S34002497","S03000037","S99999999","S99999999","5","5B3",60.153551,-1.145315,"S99999999","S99999999","S23000009",4073,"S99999999","S99999999"
"ZE1 0DX","ZE1  0DX","ZE1 0DX","198001","","0","447566","1141202","1","S00129056","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.152544,-1.145089,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0DY","ZE1  0DY","ZE1 0DY","198206","199612","0","447660","1141260","8","S00129053","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.153054,-1.143383,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0DZ","ZE1  0DZ","ZE1 0DZ","199410","199612","1","440190","1139530","8","S00129031","S99999999","S99999999","S12000027","S13002775","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012404","S02002325","S34002524","S03000037","S99999999","S99999999","8","8A2",60.138323,-1.278255,"S99999999","S99999999","S23000009",4104,"S99999999","S99999999"
"ZE1 0EA","ZE1  0EA","ZE1 0EA","198001","","0","447606","1141204","1","S00129056","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.152567,-1.144375,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0EB","ZE1  0EB","ZE1 0EB","198001","","0","447634","1141246","1","S00129056","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.152941,-1.143861,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0ED","ZE1  0ED","ZE1 0ED","198001","","0","447505","1141230","1","S00129057","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012398","S02002324","S34002503","S03000037","S99999999","S99999999","5","5B3",60.152802,-1.146181,"S99999999","S99999999","S23000009",4073,"S99999999","S99999999"
"ZE1 0EE","ZE1  0EE","ZE1 0EE","199906","","0","447879","1140907","1","S00129052","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","1B1",60.149859,-1.139522,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0EF","ZE1  0EF","ZE1 0EF","200609","","0","446234","1140344","1","S00129084","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012393","S02002323","S34002522","S03000037","S99999999","S99999999","5","8C2",60.145003,-1.169278,"S99999999","S99999999","S23000009",4778,"S99999999","S99999999"
"ZE1 0EG","ZE1  0EG","ZE1 0EG","199405","","0","447516","1141329","1","S00129058","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012398","S02002324","S34002497","S03000037","S99999999","S99999999","5","5B3",60.153690,-1.145960,"S99999999","S99999999","S23000009",4073,"S99999999","S99999999"
"ZE1 0EH","ZE1  0EH","ZE1 0EH","200006","","1","447759","1141280","1","S00129053","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.153222,-1.141595,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
